Type,DR,Ahrefs Traffic,Directory,URL,Pricing,Easy Approval?,Description
Startup,51,,Tiny Startups,https://tinystartups.com,Free,Yes,Platform to discover launch and share startups - 16k+ founders
SaaS,42,,NoCodeList,https://nocodelist.co/submit,Free,Yes,350+ no-code tools agencies and resources
Startup,38,,MicroLaunch,https://microlaunch.net,Free,Yes,Launch platform with 30 days visibility and feedback
SaaS,36,,OpenAlternative,https://openalternative.co/submit,Free,Yes,Community driven list of open source alternatives
Startup,33,,Startuplister,https://startuplister.com,Paid,Yes,Submit startup to multiple directories
SaaS,26,31,10words,https://10words.io,Free,Yes,Find apps and startups weekly at your own pace
SaaS,28,29,IndieHackerStacks,https://indiehackerstacks.com,Free (paid for extra),Yes,Discover tools from fellow indie hackers
Startup,27,8700,Startup Inspire,https://startupinspire.com,Free (up to $99),Yes,Elevate your product and grow your startup
Startup,25,,Startup Spotlight,https://startupspotlight.co,Free,Yes,Featured startup profiles and showcases
Startup,22,,Startups.fyi,https://startups.fyi,Free,Yes,Curated database of free tools for startup founders
AI,16,,Insanely Cool Tools,https://insanelycooltools.com/submit,Free,Yes,Newsletter featuring cool tools to 20k+ founders
SaaS,14,,Toolfolio,https://toolfolio.io,Free,Yes,Curated tools for makers creators and developers
SaaS,80,940100,Capterra,https://capterra.com,Free,Yes,Business software reviews and comparisons
AI,53,921100,Easy with AI,https://easywithai.com/submit,$79.99,Yes,One of the largest collections of AI tools
AI,74,792900,Theres an AI for that,https://theresanaiforthat.com,$347 lifetime,Yes,Database of 16814+ AI tools for 14688 tasks
AI,58,680900,Top AI Tools,https://topai.tools,$45-$229,Yes,AI tools directory to boost productivity
SaaS,84,360700,GetApp (Gartner),http://getapp.com,Free,Yes,Software profiles with 37k+ options
SaaS,88,266100,Hackernoon,https://hackernoon.com,Free,Medium (curated),Tech pros publish stories and expertise
SaaS,77,251900,Software Suggest,http://softwaresuggest.com,Free (up to $39.99),Yes,Millions of buyers on SoftwareSuggest
AI,47,49500,AI top tools,https://aitoptools.com,Free,Yes,Growing library of 10000+ AI tools
Developers,80,46000,Stack Share,https://stackshare.io,Free,Yes,Tech Stack Intelligence platform for teams
AI,40,44600,AI Tools FYI,https://aitools.fyi/submit,$30,Yes,Curated best AI tools for projects
SaaS,67,42000,Compara Software,https://comparasoftware.com,Free,Yes,Software comparison platform for Mexico
SaaS,70,38300,Serchen,https://serchen.com/get-listed,$19.95,Yes,Buying advice for 35000+ software apps
AI,37,34700,AI Tools Directory,https://aitoolsdirectory.com,Free,Yes,AI software tools for small business owners
SaaS,59,34200,SaaS Genius,https://saasgenius.com,Paid (varies),Yes,Leading authority on SaaS pricing
Landing Pages,80,30900,One Page Love,https://onepagelove.com,Free,Yes,One Page website design gallery
AI,25,20200,AI Valley,https://aivalley.ai/submit-tool,Free,Yes,Best curated directory of AI resources
AI,28,19000,Open Tools,https://opentools.ai,$17/month,Yes,Top AI tools curated by 50000 users
AI,29,18200,Gate2AI,https://gate2ai.com/submit,Free,Yes,5000+ categorized AI tools and prompts
SaaS,36,14100,Tool Finder,https://toolfinder.co,Free ($349 for featured),Yes,Ultimate productivity tools one-stop shop
SaaS,71,13800,GetLatka,https://getlatka.com,Free,Yes,Private SaaS company data database
Startup,71,12700,StartUs,http://startus.cc,Free,Yes,Connect with startup enthusiasts and present your company
Startup,37,12700,Startup Buffer,https://startupbuffer.com,Free,Yes,Discover startup launches from producthunt betapage and more
SaaS,36,11900,Tools.design,https://toools.design,Free,Medium (have to send email),Archive of 1500+ design resources
Mobile Apps,58,9500,AppAgg,https://appagg.com,Free,Yes,Curated lists of top apps hidden gems and games
AI,5,8800,Human Or Not,https://humanornot.co/submit,Free,Yes,AI straight to your inbox with various AI tools
SaaS,65,8400,Pitchwall,https://pitchwall.co/product,Free,Medium,Community of tech lovers and early adopters
SaaS,64,8400,Pitch Wall,https://pitchwall.co,Free,Yes,Browse search or submit your product or startup
Landing Pages,70,8300,Land-Book,https://land-book.com,Free,Yes,Hand-picked website design inspiration gallery
SaaS,47,8100,Cuspera,http://cuspera.com,Free,Medium,Personalized software solutions for business
Startup,66,7800,Magnitt,http://magnitt.com/startups,Free,Yes,Startups and companies in Middle East Africa Pakistan Turkey
Startup,43,7600,Startup World,https://startupworld.com,Free,Yes,Latest coupons promos and discount codes
Startup,73,2800,Killer Startups,https://killerstartups.com/submit-startup,Free,Yes,Leading publication dedicated to startup founders
AI,45,2800,Ben's Bites News,https://news.bensbites.com,Free,Hard (curated),Comprehensive AI learning with courses and tutorials
AI,3.2,2600,Every AI,https://every-ai.com/submit,Free ($19 for extra),Yes,Largest AI marketplace with 5500+ prompts and tools
AI,14,2300,AI Tools Hunter,https://ai-hunter.io/submit-ai-tool,Free ($19 for faster),Yes,2000+ AI tools in 70+ categories
Startup,72,2100,Zumvu,http://zumvu.com/make-profile,Free,Yes,Improve online presence with digital marketing tools
Startup,11,1600,taalk,https://taalk.com,Free,Medium (submit interview),Platform to showcase business and introduce stories
Developers,76,1400,Hot Scripts,http://hotscripts.com,Free,Yes,Largest PHP CGI Perl JavaScript and ASP script collection
SaaS,31,1300,Saas Po,https://saaspo.com/submit,Free,Yes,Curated collection of best SaaS websites
SaaS,21,1300,Owwly,https://owwly.com/products,$17 (up to $150 for promo),Yes,Comprehensive collection of latest AI tools
SaaS,11,1300,ToolScout,https://toolscout.ai/submit,Free,Yes,Platform for AI projects and teams
SaaS,51,1100,Nocode Devs,https://nocodedevs.com,$30,Yes,Growing community to build market and grow business
Space,18,806,Space Bandits,https://spacebandits.io/startups,Free (submit your story),Yes,Space startups - find hottest companies and stories
SaaS,62,762,Tech Directory,http://techdirectory.io/get-listed,Free (up to $29),Yes,Tech companies professionals innovations and events
SaaS,53,760,Beta Bound,https://betabound.com/announce,Free,Medium,Beta tests from around internet and world
Startup,56,51,Snapmunk,https://startups.snapmunk.com,Free (up to $39.99),Yes,Dedicated to interesting exciting and entertaining tech news
AI,7,45,Free AI Tools,https://free-ai-tools-directory.com,Free,Yes,Diverse range of AI tools for copy generation and more
Landing Pages,2.7,35,Awesome Marketing,https://awesomemarketing.xyz,Free,Yes,Find best marketing websites on the internet
Startup,56,29,Startup Guys,http://startupguys.net/submit,$49-$349,Yes,Business ideas you can start with low cost
SaaS,43,27,Startup Tracker,https://startuptracker.io/create,Free,Yes,First company search engine built by startup community
SaaS,13,27,Buffer Apps,https://bufferapps.com/beta,Free,Yes,Community of makers and early adopters for SaaS
Startup,42,23,Tech Faster,http://techfaster.com/submit-your-startup,Free,Medium (submit interview),Most useful domain management and tools online
SaaS,22,21,Open Startup List,https://openstartuplist.com,Free,Yes,Best open startup list - metrics revenue and more
Startup,8,19,Feed My Startup,http://feedmystartup.com/submit-your-startup,Free,Yes (mini article required),Platform for startups and entrepreneurs
AI,15,17,Victrays,https://victrays.com/submit,Free,Yes,5000+ users from around the world through AI directory
AI,2.9,17,Faind AI,https://faind.ai/submit-a-tool,Free,Yes,Search and compare top AI tools by category
AI,8,16,AI Marketing,https://aimarketing.directory,Free,Yes,Curated directory of AI tools for business professionals
Startup,13,0,yesRamen,https://yesramen.com,Free,Yes,Digital product makers get feedback to validate and improve
Startup,11,0,Build in Public,https://buildinpublic.page,$9,Yes,Find best tools to launch market and grow projects
SaaS,9,0,Hackerspad,https://hackerspad.net,$69,Yes,Handcurated alternatives reviews and comparisons
SaaS,9,0,Tool Battles,https://toolbattles.com/submit,Free,Yes,Discover favorite tech products and tools
SaaS,7,0,Handpicked Tools,https://handpickedtools.com,$19,Yes,AI-powered semantic search for compliance documents
Startup,3,0,Startup Roulette,http://startuproulette.com,Free (up to $19),Yes,Startup community for innovative new products
Landing Pages,2.9,0,landintools,https://tools.landin.page,Free,Yes,Best landing page tools that save 10+ hours
SaaS,2.6,0,feedbacktools.org,https://feedbacktools.org,Free,Yes,Submit website app or idea for written feedback
SaaS,2,0,findcool.tools,https://findcool.tools,$1.99/month,Yes,Discover coolest online tools and services
SaaS,1.3,0,Once,https://once.tools,Free,Yes,Guide to software you only pay for once
SaaS,1.2,0,GetByte,https://getbyte.tech,Free ($10 for featured),Yes,List your product and get visibility
SaaS,1,0,Lazy Hunt,https://lazyhunt.com,Free,Yes,Product Hunt + AI = Lazy Hunt submit and describe your link
Startup,0.7,0,Startup Tile,https://startuptile.com,$29,Yes,Discover startup launches from producthunt betapage and more
SaaS,0.6,0,AllOnce.co,https://allonce.co,Free,Yes,Pay once software directory own forever model
SaaS,0.3,0,Tool Summary,https://toolsummary.com/submit,Free,Yes,Free web-based online tools for productivity
SaaS,0.3,0,Indiehacker tools,https://indiehacker.tools,Free,Yes,Best tools for indie business on indiehacker.tools
